"Idr�tsorganisationernes medlemmer efter alder, k�n, omr�de, aktivitet"
"og tid"

" ";" ";" ";" ";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"0-12 �r"
" ";"M�nd"
" ";" ";"Hele landet"
" ";" ";" ";"Atletik";1710;1380;1350;1400;1400;1420;1370;1360;1170
" ";" ";" ";"Amerikansk fodbold";180;200;240;310;300;370;330;280;220
" ";" ";" ";"Badminton";13800;12060;13270;14090;14940;15680;14940;15160;14980
" ";" ";" ";"Basketball";2550;2780;3130;3450;3490;3730;4530;5000;5980
" ";" ";" ";"Bordtennis";2280;2060;1990;1930;1810;2130;1980;1840;1700
" ";" ";" ";"Cykling";1390;1340;1510;2160;2050;2010;2040;1960;1790
" ";" ";" ";"Dans";530;740;520;570;540;620;550;760;730
" ";" ";" ";"Esport";..;..;..;680;2080;3470;3640;2390;2760
" ";" ";" ";"Fitness";290;300;700;630;870;960;870;640;1080
" ";" ";" ";"Fodbold";111740;109870;109120;105340;106030;103670;92230;104340;113790
" ";" ";" ";"Golf";2550;2380;2410;2360;2230;2160;2240;2440;2230
" ";" ";" ";"Gymnastik";55330;53210;54260;54340;51170;53060;49140;46850;50570
" ";" ";" ";"H�ndbold";23610;23250;23670;23860;23640;24030;23550;21740;23050
" ";" ";" ";"Ishockey";1400;1460;1590;1580;1620;1740;1820;1750;1870
" ";" ";" ";"Kano/Kajak";490;390;430;450;470;390;380;390;280
" ";" ";" ";"L�b";710;630;570;530;440;370;290;230;270
" ";" ";" ";"Padel";..;..;..;..;..;..;..;330;520
" ";" ";" ";"Ridning";1550;1530;1620;1470;1570;1500;1350;1380;1150
" ";" ";" ";"Roning";210;250;260;220;270;210;180;180;180
" ";" ";" ";"Sejlsport";1430;1360;1370;1390;1210;1260;1330;1320;1100
" ";" ";" ";"Skydning";4820;4730;4380;4020;3680;3530;2780;2640;2910
" ";" ";" ";"Styrkel�ft";20;20;30;30;80;90;80;60;60
" ";" ";" ";"Sv�mning";70970;71100;71430;69920;71890;72650;65100;62700;67520
" ";" ";" ";"Tennis";6220;6270;6420;6380;6550;6730;7030;6570;5710
" ";" ";" ";"Volleyball";1230;1260;1200;1160;1030;1090;1010;1000;770
" ";" ";" ";"V�gtl�ftning";100;80;90;100;120;80;80;70;80
" ";" ";"K�benhavn"
" ";" ";" ";"Atletik";180;170;100;150;170;170;170;150;110
" ";" ";" ";"Amerikansk fodbold";10;20;20;40;30;30;20;20;20
" ";" ";" ";"Badminton";510;510;580;570;630;690;670;680;820
" ";" ";" ";"Basketball";130;160;270;350;390;420;570;670;840
" ";" ";" ";"Bordtennis";90;90;110;90;110;120;130;140;160
" ";" ";" ";"Cykling";50;70;50;110;100;100;160;110;130
" ";" ";" ";"Dans";80;310;120;220;220;300;270;260;340
" ";" ";" ";"Esport";..;..;..;0;0;50;60;40;70
" ";" ";" ";"Fitness";0;0;0;10;0;10;20;0;0
" ";" ";" ";"Fodbold";6580;7280;7480;8260;8870;8920;7920;8920;9940
" ";" ";" ";"Golf";0;0;0;0;0;0;0;0;0
" ";" ";" ";"Gymnastik";1670;1670;1780;1650;1820;1730;2120;2310;2400
" ";" ";" ";"H�ndbold";460;400;540;600;660;910;940;930;1060
" ";" ";" ";"Ishockey";120;130;200;140;230;240;220;240;360
" ";" ";" ";"Kano/Kajak";30;30;10;10;20;20;20;20;10
" ";" ";" ";"L�b";10;80;150;40;0;20;10;0;20
" ";" ";" ";"Padel";..;..;..;..;..;..;..;0;0
" ";" ";" ";"Ridning";0;0;0;0;0;0;0;0;0
" ";" ";" ";"Roning";30;40;50;50;40;50;40;30;40
" ";" ";" ";"Sejlsport";120;70;50;50;40;40;40;50;40
" ";" ";" ";"Skydning";60;90;60;40;50;40;20;20;30
" ";" ";" ";"Styrkel�ft";0;0;0;0;0;0;0;0;0
" ";" ";" ";"Sv�mning";4090;4150;4230;4300;4460;4730;3890;3530;4160
" ";" ";" ";"Tennis";460;440;450;570;610;720;550;560;450
" ";" ";" ";"Volleyball";100;80;60;80;80;60;70;70;50
" ";" ";" ";"V�gtl�ftning";10;10;0;0;0;0;0;0;0
" ";"Kvinder"
" ";" ";"Hele landet"
" ";" ";" ";"Atletik";1790;1690;1550;1490;1390;1350;1350;1430;1220
" ";" ";" ";"Amerikansk fodbold";500;620;720;740;750;890;1020;950;1130
" ";" ";" ";"Badminton";8700;7890;8240;7940;7660;7460;7060;7610;7820
" ";" ";" ";"Basketball";1100;1170;1480;1680;1790;1950;2240;2350;2240
" ";" ";" ";"Bordtennis";310;330;270;240;240;230;230;190;150
" ";" ";" ";"Cykling";660;680;590;720;660;610;570;530;420
" ";" ";" ";"Dans";4100;3490;4480;5010;4770;4650;5210;4560;5430
" ";" ";" ";"Esport";..;..;..;30;60;140;200;220;280
" ";" ";" ";"Fitness";520;360;1370;1270;1480;1670;1780;1140;1310
" ";" ";" ";"Fodbold";28980;27730;27030;27070;27910;27660;24420;30760;32480
" ";" ";" ";"Golf";1200;1050;990;940;920;930;980;1080;940
" ";" ";" ";"Gymnastik";107940;106410;113790;117890;117050;119480;107740;102100;115480
" ";" ";" ";"H�ndbold";25830;25000;24840;24950;24540;24250;23430;22350;23880
" ";" ";" ";"Ishockey";150;150;210;220;290;280;310;310;400
" ";" ";" ";"Kano/Kajak";360;340;380;320;330;290;300;270;230
" ";" ";" ";"L�b";670;510;550;500;340;330;250;220;250
" ";" ";" ";"Padel";..;..;..;..;..;..;..;220;280
" ";" ";" ";"Ridning";19630;19380;18450;17960;18270;18650;18330;18590;18030
" ";" ";" ";"Roning";180;200;200;190;180;190;140;160;170
" ";" ";" ";"Sejlsport";780;800;900;840;790;840;820;870;820
" ";" ";" ";"Skydning";1480;1540;1630;1520;1450;1350;1090;1020;1060
" ";" ";" ";"Styrkel�ft";60;40;20;20;50;40;40;30;30
" ";" ";" ";"Sv�mning";76710;77610;77970;76050;77340;78070;69600;68800;75500
" ";" ";" ";"Tennis";5080;5170;4920;4800;4740;4920;4800;4710;4430
" ";" ";" ";"Volleyball";1550;1660;1420;1470;1340;1320;1260;1210;1080
" ";" ";" ";"V�gtl�ftning";60;60;70;90;120;110;90;140;140
" ";" ";"K�benhavn"
" ";" ";" ";"Atletik";200;190;80;140;170;180;190;180;150
" ";" ";" ";"Amerikansk fodbold";140;200;240;260;220;190;190;180;190
" ";" ";" ";"Badminton";370;360;370;390;430;380;410;400;530
" ";" ";" ";"Basketball";90;110;180;210;190;220;300;300;330
" ";" ";" ";"Bordtennis";20;30;20;10;10;10;10;10;10
" ";" ";" ";"Cykling";20;10;10;20;20;30;30;20;10
" ";" ";" ";"Dans";460;340;630;830;880;1050;1120;1090;1470
" ";" ";" ";"Esport";..;..;..;0;0;0;0;0;0
" ";" ";" ";"Fitness";10;0;10;40;40;20;30;10;0
" ";" ";" ";"Fodbold";1090;1180;1180;1450;1870;2000;1960;2410;2500
" ";" ";" ";"Golf";0;0;0;0;0;0;0;0;0
" ";" ";" ";"Gymnastik";3290;3220;3530;3880;4050;4080;4450;4590;5140
" ";" ";" ";"H�ndbold";580;490;680;680;710;880;850;820;930
" ";" ";" ";"Ishockey";20;20;50;30;50;50;50;80;100
" ";" ";" ";"Kano/Kajak";10;10;10;10;20;10;10;10;10
" ";" ";" ";"L�b";0;10;110;0;0;0;0;0;30
" ";" ";" ";"Padel";..;..;..;..;..;..;..;0;0
" ";" ";" ";"Ridning";0;0;0;0;0;0;0;0;0
" ";" ";" ";"Roning";50;70;60;50;40;50;30;30;30
" ";" ";" ";"Sejlsport";30;10;20;10;20;20;20;30;20
" ";" ";" ";"Skydning";10;10;10;10;10;20;10;10;10
" ";" ";" ";"Styrkel�ft";0;0;0;0;0;0;0;0;0
" ";" ";" ";"Sv�mning";4870;4980;5210;5360;5470;5890;4760;4420;5460
" ";" ";" ";"Tennis";350;360;370;440;440;520;420;470;420
" ";" ";" ";"Volleyball";110;80;70;110;100;80;90;70;80
" ";" ";" ";"V�gtl�ftning";0;0;0;0;0;0;0;10;10
"13-18 �r"
" ";"M�nd"
" ";" ";"Hele landet"
" ";" ";" ";"Atletik";1060;1060;940;940;860;860;890;860;800
" ";" ";" ";"Amerikansk fodbold";920;920;1040;930;830;840;800;760;700
" ";" ";" ";"Badminton";9810;8920;9290;9990;10440;10690;10850;10770;10950
" ";" ";" ";"Basketball";2680;2690;2980;3150;3240;3560;4280;4950;5820
" ";" ";" ";"Bordtennis";1680;1610;1530;1490;1500;1620;1420;1410;1340
" ";" ";" ";"Cykling";2010;1990;1930;2180;2060;2090;2010;2120;2080
" ";" ";" ";"Dans";250;290;230;170;170;180;170;210;290
" ";" ";" ";"Esport";..;..;..;950;2040;2870;2970;2080;1660
" ";" ";" ";"Fitness";8200;7870;8300;8710;9850;10520;10350;9430;12130
" ";" ";" ";"Fodbold";62960;62660;60700;58550;55920;54600;51330;54840;58510
" ";" ";" ";"Golf";4210;4140;3920;3770;3490;3530;4100;4440;4310
" ";" ";" ";"Gymnastik";6190;6260;6380;6290;6740;5950;5310;4510;3980
